Turn 1, Prize = Life 30 min
Turn 817, Prize = Gem 35
Turn 818, Prize = Gem 35
Turn 819, Prize = Gem 35
Turn 820, Prize = Brush 1X
Turn 821, Prize = Brush 1X
Turn 822, Prize = Hammer 1X
Turn 823, Prize = Brush 3X
Turn 824, Prize = Life 30 min
Turn 825, Prize = Life 30 min
Turn 826, Prize = Brush 3X
Turn 827, Prize = Brush 1X
Turn 828, Prize = Gem 35
Turn 829, Prize = Gem 35
Turn 830, Prize = Life 30 min
Turn 831, Prize = Life 30 min
Turn 832, Prize = Life 30 min
Turn 833, Prize = Hammer 1X
Turn 834, Prize = Gem 35
Turn 835, Prize = Brush 3X
Turn 836, Prize = Life 30 min
Turn 837, Prize = Hammer 1X
Turn 838, Prize = Gem 75
Turn 839, Prize = Life 30 min
Turn 840, Prize = Brush 3X
Turn 841, Prize = Hammer 1X
Turn 842, Prize = Life 30 min
Turn 843, Prize = Brush 1X
Turn 844, Prize = Life 30 min
Turn 845, Prize = Brush 3X
Turn 846, Prize = Gem 75
Turn 847, Prize = Hammer 1X
Turn 848, Prize = Brush 1X
Turn 849, Prize = Hammer 3X
Turn 850, Prize = Gem 75
Turn 851, Prize = Hammer 3X
Turn 852, Prize = Hammer 3X
Turn 853, Prize = Hammer 1X
Turn 854, Prize = Hammer 1X
Turn 855, Prize = Brush 3X
Turn 856, Prize = Gem 35
Turn 857, Prize = Life 30 min
Turn 858, Prize = Hammer 1X
Turn 859, Prize = Gem 35
Turn 860, Prize = Life 30 min
Turn 861, Prize = Life 30 min
Turn 862, Prize = Hammer 3X
Turn 863, Prize = Brush 1X
Turn 864, Prize = Gem 35
Turn 865, Prize = Brush 1X
Turn 866, Prize = Brush 1X
Turn 867, Prize = Gem 35
Turn 868, Prize = Hammer 1X
Turn 869, Prize = Brush 1X
Turn 870, Prize = Hammer 1X
Turn 871, Prize = Gem 75
Turn 872, Prize = Gem 75
Turn 873, Prize = Hammer 1X
Turn 874, Prize = Life 30 min
Turn 875, Prize = Life 30 min
Turn 876, Prize = Gem 75
Turn 877, Prize = Hammer 1X
Turn 878, Prize = Gem 35
Turn 879, Prize = Hammer 1X
Turn 880, Prize = Gem 75
Turn 881, Prize = Hammer 3X
Turn 882, Prize = Gem 75
Turn 883, Prize = Gem 75
Turn 884, Prize = Brush 1X
Turn 885, Prize = Hammer 1X
Turn 886, Prize = Brush 1X
Turn 887, Prize = Brush 1X
Turn 888, Prize = Gem 35
Turn 889, Prize = Brush 1X
Turn 890, Prize = Hammer 1X
Turn 891, Prize = Gem 35
Turn 892, Prize = Brush 3X
Turn 893, Prize = Hammer 1X
Turn 894, Prize = Hammer 1X
Turn 895, Prize = Hammer 3X
Turn 896, Prize = Gem 75
Turn 897, Prize = Brush 1X
Turn 898, Prize = Hammer 1X
Turn 899, Prize = Life 30 min
Turn 900, Prize = Hammer 3X
Turn 901, Prize = Coin 750
Turn 902, Prize = Gem 75
Turn 903, Prize = Brush 3X
Turn 904, Prize = Gem 35
Turn 905, Prize = Hammer 1X
Turn 906, Prize = Gem 35
Turn 907, Prize = Brush 1X
Turn 908, Prize = Brush 1X
Turn 909, Prize = Brush 3X
Turn 910, Prize = Life 30 min
Turn 911, Prize = Brush 1X
Turn 912, Prize = Life 30 min
Turn 913, Prize = Hammer 1X
Turn 914, Prize = Hammer 3X
Turn 915, Prize = Coin 750
Turn 916, Prize = Brush 1X
Turn 917, Prize = Brush 1X
Turn 918, Prize = Hammer 3X
Turn 919, Prize = Gem 35
Turn 920, Prize = Brush 1X
Turn 921, Prize = Hammer 1X
Turn 922, Prize = Hammer 1X
Turn 923, Prize = Brush 1X
Turn 924, Prize = Gem 75
Turn 925, Prize = Hammer 1X
Turn 926, Prize = Brush 3X
Turn 927, Prize = Brush 3X
Turn 928, Prize = Brush 1X
Turn 929, Prize = Life 30 min
Turn 930, Prize = Life 30 min
Turn 931, Prize = Brush 1X
Turn 932, Prize = Brush 1X
Turn 933, Prize = Hammer 1X
Turn 934, Prize = Gem 75
Turn 935, Prize = Brush 1X
Turn 936, Prize = Brush 1X
Turn 937, Prize = Life 30 min
Turn 938, Prize = Gem 75
Turn 939, Prize = Coin 750
Turn 940, Prize = Gem 35
Turn 941, Prize = Life 30 min
Turn 942, Prize = Brush 1X
Turn 943, Prize = Brush 1X
Turn 944, Prize = Brush 1X
Turn 945, Prize = Brush 3X
Turn 946, Prize = Hammer 1X
Turn 947, Prize = Brush 1X
Turn 948, Prize = Hammer 3X
Turn 949, Prize = Hammer 3X
Turn 950, Prize = Life 30 min
Turn 951, Prize = Brush 1X
Turn 952, Prize = Hammer 1X
Turn 953, Prize = Brush 3X
Turn 954, Prize = Brush 1X
Turn 955, Prize = Coin 750
Turn 956, Prize = Hammer 1X
Turn 957, Prize = Hammer 1X
Turn 958, Prize = Hammer 3X
Turn 959, Prize = Brush 3X
Turn 960, Prize = Life 30 min
Turn 961, Prize = Coin 750
Turn 962, Prize = Brush 1X
Turn 963, Prize = Brush 1X
Turn 964, Prize = Brush 1X
Turn 965, Prize = Brush 3X
Turn 966, Prize = Hammer 1X
Turn 967, Prize = Life 30 min
Turn 968, Prize = Brush 3X
Turn 969, Prize = Coin 750
Turn 970, Prize = Brush 1X
Turn 971, Prize = Life 30 min
Turn 972, Prize = Life 30 min
Turn 973, Prize = Brush 1X
Turn 974, Prize = Hammer 3X
Turn 975, Prize = Brush 3X
Turn 976, Prize = Brush 3X
Turn 977, Prize = Life 30 min
Turn 978, Prize = Coin 750
Turn 979, Prize = Hammer 1X
Turn 980, Prize = Brush 1X
Turn 981, Prize = Life 30 min
Turn 982, Prize = Brush 1X
Turn 983, Prize = Hammer 1X
Turn 984, Prize = Brush 1X
Turn 985, Prize = Hammer 1X
Turn 986, Prize = Hammer 3X
Turn 987, Prize = Life 30 min
Turn 988, Prize = Gem 35
Turn 989, Prize = Coin 750
Turn 990, Prize = Gem 75
Turn 991, Prize = Hammer 3X
Turn 992, Prize = Hammer 3X
Turn 993, Prize = Hammer 1X
Turn 994, Prize = Hammer 1X
Turn 995, Prize = Brush 1X
Turn 996, Prize = Brush 3X
Turn 997, Prize = Brush 1X
Turn 998, Prize = Brush 1X
Turn 999, Prize = Life 30 min
Turn 1000, Prize = Life 30 min
Turn 1001, Prize = Hammer 1X
Turn 1002, Prize = Life 30 min
Turn 1003, Prize = Brush 1X
Turn 1004, Prize = Life 30 min
Turn 1005, Prize = Brush 3X
Turn 1006, Prize = Hammer 3X
Turn 1007, Prize = Life 30 min
Turn 1008, Prize = Life 30 min
Turn 1009, Prize = Life 30 min
Turn 1010, Prize = Brush 1X
Turn 1011, Prize = Gem 35
Turn 1012, Prize = Life 30 min
Turn 1013, Prize = Hammer 1X
Turn 1014, Prize = Brush 1X
Turn 1015, Prize = Hammer 1X
Turn 1016, Prize = Brush 1X
Turn 1017, Prize = Life 30 min
Turn 1018, Prize = Hammer 1X
Turn 1019, Prize = Gem 35
Turn 1020, Prize = Hammer 1X
Turn 1021, Prize = Brush 3X
Turn 1022, Prize = Life 30 min
Turn 1023, Prize = Brush 1X
Turn 1024, Prize = Brush 1X
Turn 1025, Prize = Gem 35
Turn 1026, Prize = Coin 750
Turn 1027, Prize = Brush 1X
Turn 1028, Prize = Brush 1X
Turn 1029, Prize = Hammer 3X
Turn 1030, Prize = Hammer 1X
Turn 1031, Prize = Hammer 1X
Turn 1032, Prize = Brush 1X
Turn 1033, Prize = Hammer 1X
Turn 1034, Prize = Gem 35
Turn 1035, Prize = Hammer 1X
Turn 1036, Prize = Hammer 3X
Turn 1037, Prize = Brush 1X
Turn 1038, Prize = Brush 3X
Turn 1039, Prize = Brush 1X
Turn 1040, Prize = Life 30 min
Turn 1041, Prize = Hammer 1X
Turn 1042, Prize = Hammer 1X
Turn 1043, Prize = Life 30 min
Turn 1044, Prize = Gem 35
Turn 1045, Prize = Life 30 min
Turn 1046, Prize = Life 30 min
Turn 1047, Prize = Hammer 3X
Turn 1048, Prize = Gem 75
Turn 1049, Prize = Hammer 1X
Turn 1050, Prize = Hammer 3X
Turn 1051, Prize = Coin 750
Turn 1052, Prize = Life 30 min
Turn 1053, Prize = Coin 750
Turn 1054, Prize = Gem 75
Turn 1055, Prize = Hammer 1X
Turn 1056, Prize = Brush 1X
Turn 1057, Prize = Hammer 3X
Turn 1058, Prize = Gem 35
Turn 1059, Prize = Life 30 min
Turn 1060, Prize = Life 30 min
Turn 1061, Prize = Brush 1X
Turn 1062, Prize = Brush 3X
Turn 1063, Prize = Brush 3X
Turn 1064, Prize = Coin 750
Turn 1065, Prize = Gem 35
Turn 1066, Prize = Hammer 1X
Turn 1067, Prize = Brush 1X
Turn 1068, Prize = Hammer 3X
Turn 1069, Prize = Hammer 1X
Turn 1070, Prize = Hammer 1X
Turn 1071, Prize = Brush 1X
Turn 1072, Prize = Gem 75
Turn 1073, Prize = Hammer 3X
Turn 1074, Prize = Gem 35
Turn 1075, Prize = Gem 35
Turn 1076, Prize = Life 30 min
Turn 1077, Prize = Brush 1X
Turn 1078, Prize = Brush 1X
Turn 1079, Prize = Gem 35
Turn 1080, Prize = Hammer 1X
Turn 1081, Prize = Gem 75
Turn 1082, Prize = Coin 750
Turn 1083, Prize = Brush 1X
Turn 1084, Prize = Brush 3X
Turn 1085, Prize = Hammer 1X
Turn 1086, Prize = Life 30 min
Turn 1087, Prize = Brush 1X
Turn 1088, Prize = Brush 1X
Turn 1089, Prize = Brush 1X
Turn 1090, Prize = Brush 1X
Turn 1091, Prize = Hammer 1X
Turn 1092, Prize = Hammer 1X
Turn 1093, Prize = Hammer 3X
Turn 1094, Prize = Gem 35
Turn 1095, Prize = Life 30 min
Turn 1096, Prize = Hammer 3X
Turn 1097, Prize = Hammer 1X
Turn 1098, Prize = Brush 3X
Turn 1099, Prize = Gem 35
Turn 1100, Prize = Brush 1X
Turn 1101, Prize = Hammer 1X
Turn 1102, Prize = Brush 3X
Turn 1103, Prize = Life 30 min
Turn 1104, Prize = Brush 1X
Turn 1105, Prize = Gem 35
Turn 1106, Prize = Brush 1X
Turn 1107, Prize = Hammer 1X
Turn 1108, Prize = Hammer 1X
Turn 1109, Prize = Brush 1X
Turn 1110, Prize = Gem 35
Turn 1111, Prize = Life 30 min
Turn 1112, Prize = Life 30 min
Turn 1113, Prize = Life 30 min
Turn 1114, Prize = Hammer 1X
Turn 1115, Prize = Hammer 1X
Turn 1116, Prize = Hammer 3X
Turn 1117, Prize = Brush 1X
Turn 1118, Prize = Hammer 1X
Turn 1119, Prize = Hammer 1X
Turn 1120, Prize = Gem 35
Turn 1121, Prize = Gem 75
Turn 1122, Prize = Brush 1X
Turn 1123, Prize = Hammer 1X
Turn 1124, Prize = Life 30 min
Turn 1125, Prize = Brush 1X
Turn 1126, Prize = Hammer 1X
Turn 1127, Prize = Hammer 1X
Turn 1128, Prize = Brush 1X
Turn 1129, Prize = Hammer 1X
Turn 1130, Prize = Brush 1X
Turn 1131, Prize = Life 30 min
Turn 1132, Prize = Hammer 1X
Turn 1133, Prize = Gem 75
Turn 1134, Prize = Life 30 min
Turn 1135, Prize = Life 30 min
Turn 1136, Prize = Brush 1X
Turn 1137, Prize = Gem 35
Turn 1138, Prize = Brush 3X
Turn 1139, Prize = Brush 1X
Turn 1140, Prize = Gem 35
Turn 1141, Prize = Coin 750
Turn 1142, Prize = Life 30 min
Turn 1143, Prize = Hammer 1X
Turn 1144, Prize = Life 30 min
Turn 1145, Prize = Coin 750
Turn 1146, Prize = Gem 35
Turn 1147, Prize = Hammer 1X
Turn 1148, Prize = Life 30 min
Turn 1149, Prize = Hammer 3X
Turn 1150, Prize = Gem 35
Turn 1151, Prize = Gem 75
Turn 1152, Prize = Brush 3X
Turn 1153, Prize = Hammer 1X
Turn 1154, Prize = Brush 1X
Turn 1155, Prize = Life 30 min
Turn 1156, Prize = Gem 35
Turn 1157, Prize = Hammer 1X
Turn 1158, Prize = Brush 1X
Turn 1159, Prize = Gem 35
Turn 1160, Prize = Brush 1X
Turn 1161, Prize = Brush 3X
Turn 1162, Prize = Brush 3X
Turn 1163, Prize = Hammer 1X
Turn 1164, Prize = Brush 3X
Turn 1165, Prize = Life 30 min
Turn 1166, Prize = Hammer 1X
Turn 1167, Prize = Brush 1X
Turn 1168, Prize = Hammer 3X
Turn 1169, Prize = Gem 35
Turn 1170, Prize = Brush 1X
Turn 1171, Prize = Brush 1X
Turn 1172, Prize = Life 30 min
Turn 1173, Prize = Hammer 3X
Turn 1174, Prize = Gem 35
Turn 1175, Prize = Brush 3X
Turn 1176, Prize = Brush 3X
Turn 1177, Prize = Hammer 1X
Turn 1178, Prize = Brush 1X
Turn 1179, Prize = Gem 75
Turn 1180, Prize = Life 30 min
Turn 1181, Prize = Life 30 min
Turn 1182, Prize = Life 30 min
Turn 1183, Prize = Brush 1X
Turn 1184, Prize = Hammer 3X
Turn 1185, Prize = Coin 750
Turn 1186, Prize = Brush 1X
Turn 1187, Prize = Hammer 3X
Turn 1188, Prize = Brush 1X
Turn 1189, Prize = Life 30 min
Turn 1190, Prize = Life 30 min
Turn 1191, Prize = Life 30 min
Turn 1192, Prize = Life 30 min
Turn 1193, Prize = Life 30 min
Turn 1194, Prize = Brush 3X
Turn 1195, Prize = Brush 1X
Turn 1196, Prize = Hammer 1X
Turn 1197, Prize = Hammer 3X
Turn 1198, Prize = Hammer 3X
Turn 1199, Prize = Hammer 1X
Turn 1200, Prize = Brush 3X
Turn 1201, Prize = Gem 35
Turn 1202, Prize = Brush 1X
Turn 1203, Prize = Brush 1X
Turn 1204, Prize = Hammer 3X
Turn 1205, Prize = Life 30 min
Turn 1206, Prize = Brush 1X
Turn 1207, Prize = Hammer 3X
Turn 1208, Prize = Hammer 1X
Turn 1209, Prize = Gem 75
Turn 1210, Prize = Brush 1X
Turn 1211, Prize = Life 30 min
Turn 1212, Prize = Life 30 min
Turn 1213, Prize = Brush 1X
Turn 1214, Prize = Hammer 1X
Turn 1215, Prize = Brush 1X
Turn 1216, Prize = Brush 1X
Turn 1217, Prize = Hammer 1X
Turn 1218, Prize = Hammer 1X
Turn 1219, Prize = Life 30 min
Turn 1220, Prize = Hammer 1X
Turn 1221, Prize = Hammer 1X
Turn 1222, Prize = Brush 1X
Turn 1223, Prize = Gem 35
Turn 1224, Prize = Brush 3X
Turn 1225, Prize = Hammer 1X
Turn 1226, Prize = Gem 35
Turn 1227, Prize = Hammer 3X
Turn 1228, Prize = Life 30 min
Turn 1229, Prize = Coin 750
Turn 1230, Prize = Hammer 1X
Turn 1231, Prize = Hammer 3X
Turn 1232, Prize = Brush 1X
Turn 1233, Prize = Gem 75
Turn 1234, Prize = Brush 1X
Turn 1235, Prize = Hammer 1X
Turn 1236, Prize = Hammer 3X
Turn 1237, Prize = Hammer 1X
Turn 1238, Prize = Hammer 3X
Turn 1239, Prize = Hammer 3X
Turn 1240, Prize = Brush 1X
Turn 1241, Prize = Hammer 1X
Turn 1242, Prize = Life 30 min
Turn 1243, Prize = Life 30 min
Turn 1244, Prize = Brush 1X
Turn 1245, Prize = Gem 35
Turn 1246, Prize = Hammer 1X
Turn 1247, Prize = Brush 1X
Turn 1248, Prize = Brush 3X
Turn 1249, Prize = Brush 1X
Turn 1250, Prize = Life 30 min
Turn 1251, Prize = Life 30 min
Turn 1252, Prize = Gem 75
Turn 1253, Prize = Brush 1X
Turn 1254, Prize = Gem 35
Turn 1255, Prize = Life 30 min
Turn 1256, Prize = Life 30 min
Turn 1257, Prize = Brush 1X
Turn 1258, Prize = Coin 750
Turn 1259, Prize = Hammer 1X
Turn 1260, Prize = Life 30 min
Turn 1261, Prize = Hammer 3X
Turn 1262, Prize = Hammer 1X
Turn 1263, Prize = Coin 750
Turn 1264, Prize = Brush 3X
Turn 1265, Prize = Brush 3X
Turn 1266, Prize = Hammer 1X
Turn 1267, Prize = Gem 35
Turn 1268, Prize = Hammer 3X
Turn 1269, Prize = Gem 75
Turn 1270, Prize = Brush 1X
Turn 1271, Prize = Coin 750
Turn 1272, Prize = Hammer 1X
Turn 1273, Prize = Hammer 1X
Turn 1274, Prize = Brush 1X
Turn 1275, Prize = Brush 3X
Turn 1276, Prize = Brush 1X
Turn 1277, Prize = Life 30 min
Turn 1278, Prize = Hammer 1X
Turn 1279, Prize = Hammer 1X
Turn 1280, Prize = Gem 35
Turn 1281, Prize = Gem 35
Turn 1282, Prize = Brush 1X
Turn 1283, Prize = Hammer 3X
Turn 1284, Prize = Brush 1X
Turn 1285, Prize = Life 30 min
Turn 1286, Prize = Brush 1X
Turn 1287, Prize = Life 30 min
Turn 1288, Prize = Life 30 min
Turn 1289, Prize = Hammer 1X
Turn 1290, Prize = Life 30 min
Turn 1291, Prize = Coin 750
Turn 1292, Prize = Gem 35
Turn 1293, Prize = Coin 750
Turn 1294, Prize = Hammer 1X
Turn 1295, Prize = Brush 1X
Turn 1296, Prize = Brush 3X
Turn 1297, Prize = Hammer 3X
Turn 1298, Prize = Brush 3X
Turn 1299, Prize = Life 30 min
Turn 1300, Prize = Gem 75
Turn 1301, Prize = Hammer 3X
Turn 1302, Prize = Hammer 1X
Turn 1303, Prize = Hammer 1X
Turn 1304, Prize = Hammer 3X
Turn 1305, Prize = Hammer 1X
Turn 1306, Prize = Hammer 3X
Turn 1307, Prize = Brush 3X
Turn 1308, Prize = Coin 750
Turn 1309, Prize = Hammer 1X
Turn 1310, Prize = Brush 1X
Turn 1311, Prize = Gem 35
Turn 1312, Prize = Life 30 min
Turn 1313, Prize = Brush 1X
Turn 1314, Prize = Brush 3X
Turn 1315, Prize = Life 30 min
Turn 1316, Prize = Hammer 3X
Turn 1317, Prize = Coin 750
Turn 1318, Prize = Hammer 1X
Turn 1319, Prize = Gem 35
Turn 1320, Prize = Gem 35
Turn 1321, Prize = Coin 750
Turn 1322, Prize = Brush 3X
Turn 1323, Prize = Coin 750
Turn 1324, Prize = Hammer 1X
Turn 1325, Prize = Brush 1X
Turn 1326, Prize = Gem 75
Turn 1327, Prize = Hammer 1X
Turn 1328, Prize = Gem 35
Turn 1329, Prize = Life 30 min
Turn 1330, Prize = Life 30 min
Turn 1331, Prize = Brush 3X
Turn 1332, Prize = Life 30 min
Turn 1333, Prize = Gem 75
Turn 1334, Prize = Coin 750
Turn 1335, Prize = Life 30 min
Turn 1336, Prize = Gem 75
Turn 1337, Prize = Life 30 min
Turn 1338, Prize = Gem 35
Turn 1339, Prize = Life 30 min
Turn 1340, Prize = Coin 750
Turn 1341, Prize = Brush 1X
Turn 1342, Prize = Life 30 min
Turn 1343, Prize = Life 30 min
Turn 1344, Prize = Brush 3X
Turn 1345, Prize = Gem 35
Turn 1346, Prize = Life 30 min
Turn 1347, Prize = Life 30 min
Turn 1348, Prize = Life 30 min
Turn 1349, Prize = Brush 3X
Turn 1350, Prize = Brush 1X
Turn 1351, Prize = Life 30 min
Turn 1352, Prize = Hammer 3X
Turn 1353, Prize = Life 30 min
Turn 1354, Prize = Hammer 3X
Turn 1355, Prize = Brush 1X
Turn 1356, Prize = Hammer 1X
Turn 1357, Prize = Life 30 min
Turn 1358, Prize = Life 30 min
Turn 1359, Prize = Life 30 min
Turn 1360, Prize = Hammer 1X
Turn 1361, Prize = Hammer 3X
Turn 1362, Prize = Gem 75
Turn 1363, Prize = Hammer 1X
Turn 1364, Prize = Brush 1X
Turn 1365, Prize = Brush 3X
Turn 1366, Prize = Brush 1X
Turn 1367, Prize = Gem 35
Turn 1368, Prize = Life 30 min
Turn 1369, Prize = Brush 1X
Turn 1370, Prize = Hammer 3X
Turn 1371, Prize = Brush 3X
Turn 1372, Prize = Coin 750
Turn 1373, Prize = Brush 3X
Turn 1374, Prize = Gem 75
Turn 1375, Prize = Life 30 min
Turn 1376, Prize = Brush 1X
Turn 1377, Prize = Hammer 3X
Turn 1378, Prize = Hammer 1X
Turn 1379, Prize = Brush 1X
Turn 1380, Prize = Hammer 1X
Turn 1381, Prize = Life 30 min
Turn 1382, Prize = Hammer 1X
Turn 1383, Prize = Hammer 1X
Turn 1384, Prize = Coin 750
Turn 1385, Prize = Coin 750
Turn 1386, Prize = Brush 1X
Turn 1387, Prize = Gem 35
Turn 1388, Prize = Brush 3X
Turn 1389, Prize = Life 30 min
Turn 1390, Prize = Brush 1X
Turn 1391, Prize = Brush 1X
Turn 1392, Prize = Hammer 3X
Turn 1393, Prize = Brush 3X
Turn 1394, Prize = Gem 35
Turn 1395, Prize = Hammer 1X
Turn 1396, Prize = Hammer 1X
Turn 1397, Prize = Brush 1X
Turn 1398, Prize = Life 30 min
Turn 1399, Prize = Hammer 3X
Turn 1400, Prize = Hammer 1X
Turn 1401, Prize = Gem 35
Turn 1402, Prize = Life 30 min
Turn 1403, Prize = Gem 35
Turn 1404, Prize = Hammer 1X
Turn 1405, Prize = Hammer 1X
Turn 1406, Prize = Hammer 3X
Turn 1407, Prize = Hammer 3X
Turn 1408, Prize = Brush 3X
Turn 1409, Prize = Hammer 3X
Turn 1410, Prize = Brush 1X
Turn 1411, Prize = Hammer 1X
Turn 1412, Prize = Hammer 1X
Turn 1413, Prize = Brush 1X
Turn 1414, Prize = Hammer 1X
Turn 1415, Prize = Hammer 1X
Turn 1416, Prize = Brush 3X
Turn 1417, Prize = Coin 750
Turn 1418, Prize = Life 30 min
Turn 1419, Prize = Hammer 1X
Turn 1420, Prize = Hammer 3X
Turn 1421, Prize = Gem 75
Turn 1422, Prize = Coin 750
Turn 1423, Prize = Hammer 1X
Turn 1424, Prize = Gem 35
Turn 1425, Prize = Hammer 1X
Turn 1426, Prize = Coin 750
Turn 1427, Prize = Coin 750
Turn 1428, Prize = Life 30 min
Turn 1429, Prize = Brush 1X
Turn 1430, Prize = Life 30 min
Turn 1431, Prize = Gem 35
Turn 1432, Prize = Hammer 1X
Turn 1433, Prize = Brush 3X
Turn 1434, Prize = Hammer 3X
Turn 1435, Prize = Life 30 min
Turn 1436, Prize = Hammer 3X
Turn 1437, Prize = Life 30 min
Turn 1438, Prize = Gem 75
Turn 1439, Prize = Gem 35
Turn 1440, Prize = Brush 1X
Turn 1441, Prize = Gem 35
Turn 1442, Prize = Hammer 1X
Turn 1443, Prize = Life 30 min
Turn 1444, Prize = Brush 1X
Turn 1445, Prize = Life 30 min
Turn 1446, Prize = Life 30 min
Turn 1447, Prize = Brush 1X
Turn 1448, Prize = Brush 1X
Turn 1449, Prize = Hammer 3X
Turn 1450, Prize = Brush 1X
Turn 1451, Prize = Hammer 1X
Turn 1452, Prize = Gem 35
Turn 1453, Prize = Brush 1X
Turn 1454, Prize = Gem 35
Turn 1455, Prize = Hammer 1X
Turn 1456, Prize = Brush 1X
Turn 1457, Prize = Hammer 1X
Turn 1458, Prize = Brush 1X
Turn 1459, Prize = Life 30 min
Turn 1460, Prize = Coin 750
Turn 1461, Prize = Life 30 min
Turn 1462, Prize = Hammer 3X
Turn 1463, Prize = Brush 1X
Turn 1464, Prize = Brush 3X
Turn 1465, Prize = Brush 1X
Turn 1466, Prize = Brush 1X
Turn 1467, Prize = Brush 3X
Turn 1468, Prize = Gem 35
Turn 1469, Prize = Life 30 min
Turn 1470, Prize = Brush 1X
Turn 1471, Prize = Brush 1X
Turn 1472, Prize = Hammer 1X
Turn 1473, Prize = Life 30 min
Turn 1474, Prize = Life 30 min
Turn 1475, Prize = Brush 1X
Turn 1476, Prize = Brush 1X
Turn 1477, Prize = Hammer 3X
Turn 1478, Prize = Gem 75
Turn 1479, Prize = Brush 1X
Turn 1480, Prize = Life 30 min
Turn 1481, Prize = Gem 75
Turn 1482, Prize = Coin 750
Turn 1483, Prize = Brush 3X
Turn 1484, Prize = Brush 3X
Turn 1485, Prize = Brush 1X
Turn 1486, Prize = Brush 1X
Turn 1487, Prize = Coin 750
Turn 1488, Prize = Hammer 1X
Turn 1489, Prize = Brush 1X
Turn 1490, Prize = Hammer 3X
Turn 1491, Prize = Brush 3X
Turn 1492, Prize = Hammer 1X
Turn 1493, Prize = Hammer 1X
Turn 1494, Prize = Brush 3X
Turn 1495, Prize = Coin 750
Turn 1496, Prize = Gem 35
Turn 1497, Prize = Hammer 1X
Turn 1498, Prize = Coin 750
Turn 1499, Prize = Brush 1X
Turn 1500, Prize = Life 30 min
Turn 1501, Prize = Brush 1X
Turn 1502, Prize = Brush 1X
Turn 1503, Prize = Brush 1X
Turn 1504, Prize = Life 30 min
Turn 1505, Prize = Gem 75
Turn 1506, Prize = Hammer 1X
Turn 1507, Prize = Life 30 min
Turn 1508, Prize = Life 30 min
Turn 1509, Prize = Brush 3X
Turn 1510, Prize = Brush 3X
Turn 1511, Prize = Gem 35
Turn 1512, Prize = Brush 1X
Turn 1513, Prize = Hammer 1X
Turn 1514, Prize = Brush 1X
Turn 1515, Prize = Gem 35
Turn 1516, Prize = Hammer 1X
Turn 1517, Prize = Hammer 1X
Turn 1518, Prize = Life 30 min
Turn 1519, Prize = Life 30 min
Turn 1520, Prize = Gem 35
Turn 1521, Prize = Brush 1X
Turn 1522, Prize = Hammer 3X
Turn 1523, Prize = Hammer 3X
Turn 1524, Prize = Hammer 3X
Turn 1525, Prize = Hammer 3X
Turn 1526, Prize = Hammer 3X
Turn 1527, Prize = Hammer 3X
Turn 1528, Prize = Life 30 min
Turn 1529, Prize = Hammer 3X
Turn 1530, Prize = Brush 1X
Turn 1531, Prize = Gem 35
Turn 1532, Prize = Brush 1X
Turn 1533, Prize = Life 30 min
Turn 1534, Prize = Brush 3X
Turn 1535, Prize = Brush 1X
Turn 1536, Prize = Hammer 1X
Turn 1537, Prize = Hammer 1X
Turn 1538, Prize = Gem 35
Turn 1539, Prize = Life 30 min
Turn 1540, Prize = Life 30 min
Turn 1541, Prize = Gem 35
Turn 1542, Prize = Gem 35
Turn 1543, Prize = Gem 75
Turn 1544, Prize = Brush 1X
Turn 1545, Prize = Hammer 1X
Turn 1546, Prize = Hammer 3X
Turn 1547, Prize = Brush 1X
Turn 1548, Prize = Life 30 min
Turn 1549, Prize = Hammer 1X
Turn 1550, Prize = Brush 1X
Turn 1551, Prize = Brush 1X
Turn 1552, Prize = Brush 3X
Turn 1553, Prize = Hammer 1X
Turn 1554, Prize = Brush 1X
Turn 1555, Prize = Brush 1X
Turn 1556, Prize = Gem 75
Turn 1557, Prize = Brush 1X
Turn 1558, Prize = Brush 1X
Turn 1559, Prize = Life 30 min
Turn 1560, Prize = Brush 1X
Turn 1561, Prize = Brush 1X
Turn 1562, Prize = Gem 75
Turn 1563, Prize = Hammer 1X
Turn 1564, Prize = Hammer 1X
Turn 1565, Prize = Brush 1X
Turn 1566, Prize = Hammer 3X
Turn 1567, Prize = Brush 1X
Turn 1568, Prize = Brush 1X
Turn 1569, Prize = Hammer 3X
Turn 1570, Prize = Brush 1X
Turn 1571, Prize = Coin 750
Turn 1572, Prize = Life 30 min
Turn 1573, Prize = Brush 1X
Turn 1574, Prize = Gem 35
Turn 1575, Prize = Hammer 1X
Turn 1576, Prize = Brush 1X
Turn 1577, Prize = Brush 1X
Turn 1578, Prize = Gem 75
Turn 1579, Prize = Coin 750
Turn 1580, Prize = Life 30 min
Turn 1581, Prize = Hammer 1X
Turn 1582, Prize = Brush 1X
Turn 1583, Prize = Brush 1X
Turn 1584, Prize = Hammer 3X
Turn 1585, Prize = Hammer 3X
Turn 1586, Prize = Hammer 3X
Turn 1587, Prize = Life 30 min
Turn 1588, Prize = Coin 750
Turn 1589, Prize = Hammer 1X
Turn 1590, Prize = Gem 35
Turn 1591, Prize = Hammer 3X
Turn 1592, Prize = Brush 3X
Turn 1593, Prize = Life 30 min
Turn 1594, Prize = Brush 1X
Turn 1595, Prize = Hammer 1X
Turn 1596, Prize = Hammer 1X
Turn 1597, Prize = Life 30 min
Turn 1598, Prize = Hammer 1X
Turn 1599, Prize = Life 30 min
